fest_id,campaign_id,source,ip,city,country,countryCode,isp,lat,lon,org,query,region,regionName,status,timezone,zip,timestamp
0Zrk29JSlVqjkHeai0Hk,a54aaf0d-8b4e-41a1-8a8e-0ff3f7cca2e2,whatsapp,115.249.106.164,Vellore,India,IN,Reliance Communications,12.9333,79.1333,Reliance Communications,115.249.106.164,TN,Tamil Nadu,success,Asia/Kolkata,632014,2018-09-12 10:16:17
4X6wBWASnaFBtGj9LQoS,80692e9c-2c39-4c7e-97d4-a2060333ff17,Facebook,106.203.21.154,Chennai,India,IN,Bharti Airtel,13.0833,80.2833,Bharti Airtel,106.203.21.154,TN,Tamil Nadu,success,Asia/Kolkata,600001,2018-09-12 10:34:36
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,115.249.106.164,Vellore,India,IN,Reliance Communications,12.9333,79.1333,Reliance Communications,115.249.106.164,TN,Tamil Nadu,success,Asia/Kolkata,632014,2018-09-12 23:19:43
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,115.249.106.164,Vellore,India,IN,Reliance Communications,12.9333,79.1333,Reliance Communications,115.249.106.164,TN,Tamil Nadu,success,Asia/Kolkata,632014,2018-09-12 23:19:55
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,157.51.135.128,Chennai,India,IN,Jio,13.0833,80.2833,Jio,157.51.135.128,TN,Tamil Nadu,success,Asia/Kolkata,600001,2018-09-12 23:24:34
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,157.50.32.100,Chennai,India,IN,Jio,13.0833,80.2833,Jio,157.50.32.100,TN,Tamil Nadu,success,Asia/Kolkata,600003,2018-09-12 23:48:22
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,27.62.1.30,Chennai,India,IN,Bharti Airtel,13.0833,80.2833,Bharti Airtel,27.62.1.30,TN,Tamil Nadu,success,Asia/Kolkata,600003,2018-09-13 00:22:21
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,112.79.134.170,Lucknow,India,IN,Vodafone India,26.85,80.9167,Vodafone India,112.79.134.170,UP,Uttar Pradesh,success,Asia/Kolkata,226004,2018-09-13 00:37:04
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,157.51.90.182,Chennai,India,IN,Jio,13.0833,80.2833,Jio,157.51.90.182,TN,Tamil Nadu,success,Asia/Kolkata,600001,2018-09-13 00:56:15
UItdaK1sPQXSOA7BwjC0,1cc44a4d-40c4-4b53-abce-0ff105405905,Email,40.107.208.59,San Antonio,United States,US,Microsoft Corporation,29.4241,-98.4936,Microsoft Azure,40.107.208.59,TX,Texas,success,America/Chicago,78288,2018-09-13 00:56:45
